,Lat,Long,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),City ID,City Name,Country
0,-13.7,-76.22,70.48,60,0,8.05,3932145,Pisco,PE
1,-54.8,-68.3,55.4,43,75,16.11,3833367,Ushuaia,AR
2,66.53,66.6,20.3,96,98,9.66,1493197,Salekhard,RU
3,-31.95,141.43,64.4,31,2,5.66,2173911,Broken Hill,AU
4,-33.93,18.42,58.96,77,0,16.11,3369157,Cape Town,ZA
5,11.25,-85.87,82.4,83,40,6.42,3616726,San Juan del Sur,NI
6,3.07,172.79,82.18,70,92,6.73,2110227,Butaritari,KI
7,42.6,-73.97,71.44,72,58,9.06,5106841,Albany,US
8,29.16,16.14,69.37,36,0,10.58,2209055,Waddān,LY
9,-23.12,-134.97,73.8,67,60,8.99,4030556,Rikitea,PF
10,-33.02,27.91,66.2,77,0,11.41,1006984,East London,ZA
11,-39.2,173.88,48.99,91,82,4.0,2185763,Okato,NZ
12,-42.88,147.33,48.67,93,90,3.36,2163355,Hobart,AU
13,-30.18,-50.21,68.56,85,65,14.61,3466165,Cidreira,BR
14,43.65,111.98,31.28,74,30,8.55,2037485,Erenhot,CN
15,-21.21,-159.78,75.2,83,92,4.7,4035715,Avarua,CK
16,-46.6,168.33,46.0,81,99,1.01,2206939,Bluff,NZ
17,60.14,-45.24,33.76,88,100,10.42,3421765,Nanortalik,GL
18,22.08,-159.32,73.63,83,75,8.05,5848280,Kapaa,US
19,-33.65,115.33,50.27,68,2,11.1,2075265,Busselton,AU
20,-20.34,57.76,75.58,78,40,13.87,1106677,Bambous Virieux,MU
21,12.06,-61.75,87.8,70,20,17.22,3579925,St. George's,GD
22,-53.15,-70.92,48.11,45,90,13.87,3874787,Punta Arenas,CL
23,60.73,33.55,30.27,97,79,4.43,534560,Lodeynoye Pole,RU
24,39.18,-84.53,68.02,73,90,4.7,4513583,Hamilton,US
25,12.58,-81.7,87.8,74,75,6.93,3670218,San Andrés,CO
26,72.79,-56.15,27.79,95,99,7.83,3418910,Upernavik,GL
27,58.81,-122.7,21.2,67,75,8.05,5955902,Fort Nelson,CA
28,45.13,35.22,52.27,65,89,6.13,709161,Zhuravky,UA
29,71.29,-156.79,35.6,98,90,16.11,5880054,Barrow,US
30,69.7,170.31,29.37,99,100,3.85,2122090,Pevek,RU
31,-34.42,19.23,55.0,88,0,4.88,3366880,Hermanus,ZA
32,60.75,-137.51,21.99,85,54,2.68,5969025,Haines Junction,CA
33,63.75,-68.51,32.0,94,75,3.36,5983720,Iqaluit,CA
34,-34.58,150.86,61.0,87,97,4.56,6255012,Flinders,AU
35,3.1,98.49,75.2,100,40,6.93,1214965,Kabanjahe,ID
36,-0.6,73.08,82.92,75,23,14.43,1282256,Hithadhoo,MV
37,-28.55,16.43,67.82,46,0,26.06,3354071,Oranjemund,NA
38,-6.88,112.21,80.56,78,88,4.09,8079926,Labuhan,ID
39,35.73,140.83,57.2,93,75,6.93,2112802,Hasaki,JP
40,-15.86,-38.88,82.4,58,20,16.11,3470137,Belmonte,BR
41,77.48,-69.36,18.57,80,80,6.91,3831208,Qaanaaq,GL
42,69.45,-133.04,21.2,92,90,12.75,6170031,Tuktoyaktuk,CA
43,11.28,49.18,81.59,54,0,4.41,64013,Bosaso,SO
44,21.46,-71.14,78.8,83,75,11.41,3576994,Cockburn Town,TC
45,-16.48,-151.75,78.39,78,48,11.23,4034551,Faanui,PF
46,6.58,3.75,84.2,74,40,9.17,2332453,Lagos,NG
47,-0.74,-90.35,73.31,69,40,21.92,3652764,Puerto Ayora,EC
48,43.74,135.29,52.81,88,99,5.61,2018553,Ol'ga,RU
49,54.3,110.3,25.09,85,25,1.7,2021188,Kurumkan,RU
50,32.67,-17.1,63.18,63,40,14.99,2264557,Ponta do Sol,PT
51,-34.53,20.04,55.4,87,0,3.36,1015776,Bredasdorp,ZA
52,-51.62,-69.22,59.0,32,92,6.93,3838859,Río Gallegos,AR
53,-33.92,25.57,60.8,82,0,3.36,964420,Port Elizabeth,ZA
54,-32.5,137.77,63.41,87,27,8.05,2063056,Port Augusta,AU
55,13.59,102.97,73.06,85,86,8.12,1822207,Sisophon,KH
56,35.23,-106.66,72.81,15,1,6.55,5487811,Rio Rancho,US
57,-28.47,-65.79,79.0,73,45,4.0,3837702,San Fernando del Valle de Catamarca,AR
58,50.7,-127.42,48.2,70,20,10.29,6111862,Port Hardy,CA
59,-46.19,168.86,46.0,81,89,1.01,6201424,Mataura,NZ
60,38.73,-27.07,62.76,67,75,21.21,3372760,Praia da Vitória,PT
61,68.75,161.3,16.0,96,80,5.06,2126199,Cherskiy,RU
62,-19.98,57.61,75.99,71,17,8.01,934649,Cap Malheureux,MU
63,-16.62,-72.71,67.32,61,28,7.29,3945985,Camaná,PE
64,71.97,102.5,4.28,93,39,5.73,2022572,Khatanga,RU
65,38.54,21.08,66.2,63,20,5.82,264416,Astakós,GR
66,22.89,-109.91,90.91,55,5,6.93,3985710,Cabo San Lucas,MX
67,26.56,31.69,89.6,22,0,6.93,347796,Sohag,EG
68,19.73,-155.09,73.9,56,1,6.93,5855927,Hilo,US
69,57.79,-152.41,39.2,64,1,10.29,5866583,Saint Paul Harbor,US
70,-9.86,124.28,65.64,95,22,3.09,1626703,Soe,ID
71,48.0,122.72,30.31,84,61,15.37,2033225,Zhalantun,CN
72,30.22,-90.9,85.51,55,1,10.29,4315067,Ascension,US
73,29.96,122.3,64.56,87,100,16.64,1795632,Shenjiamen,CN
74,66.15,-65.71,28.4,86,90,4.7,6096551,Pangnirtung,CA
75,21.64,69.61,83.17,78,14,9.82,1259395,Porbandar,IN
76,54.77,-101.86,28.4,74,90,4.47,5954718,Flin Flon,CA
77,38.42,-121.42,76.96,31,1,4.7,5364271,Laguna,US
78,-13.85,136.42,80.6,88,40,5.82,2079582,Alyangula,AU
79,51.23,-58.65,45.07,54,1,1.52,6137462,Saint-Augustin,CA
80,-46.13,167.68,46.0,81,92,1.01,2180815,Tuatapere,NZ
81,59.7,30.79,36.12,86,90,8.95,546105,Nikolskoye,RU
82,28.66,-17.92,67.06,69,40,5.82,2514651,Los Llanos de Aridane,ES
83,44.36,77.98,51.03,38,0,5.37,1519580,Saryozek,KZ
84,-4.08,-63.14,95.22,42,72,5.3,3664539,Coari,BR
85,68.22,-135.01,14.0,92,75,2.24,5882953,Aklavik,CA
86,-20.41,57.7,75.2,78,40,13.87,934322,Mahébourg,MU
87,66.71,27.43,25.45,97,60,6.11,653272,Kemijärvi,FI
88,28.02,-97.52,85.82,66,20,10.29,4726521,San Patricio,US
89,51.59,-3.0,55.63,98,100,1.01,2641598,Newport,GB
