,Unnamed: 0,Lat,Long,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),City ID,City Name,Country
485,485,-30.6,-71.2,78.84,26,0,9.15,3877918,Ovalle,CL
308,308,24.63,-101.42,70.72,24,0,4.45,4013039,Concepción del Oro,MX
324,324,36.96,36.2,78.01,74,0,3.0,296852,Erzin,TR
462,462,26.1,-106.97,73.74,28,0,7.43,4005370,Guadalupe y Calvo,MX
404,404,29.97,40.21,75.2,13,0,4.7,102527,Sakakah,SA
529,529,37.31,40.74,71.6,37,0,9.17,304797,Mardin,TR
180,180,-2.42,115.25,74.32,91,0,1.1,1651461,Amuntai,ID
261,261,24.69,46.72,73.4,23,0,3.36,108410,Riyadh,SA
302,302,31.61,34.76,73.71,67,0,7.92,293842,Kiryat Gat,IL
474,474,31.35,27.25,73.4,60,0,5.82,352733,Marsá Maţrūḩ,EG
